Shear wave splitting measurements related to the publication;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Lateral and vertical variations of seismic anisotropy in the lithosphere-asthenosphere system;;;;;;;;;;;;;;;;;;;;;;;
underneath Central Europe from long-term splitting measurements.;;;;;;;;;;;;;;;;;;;;;;;
2024. Geophysical Journal International.;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Yvonne Fröhlich, Michael Grund, and Joachim R. R. Ritter;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
corresponding author: Yvonne Fröhlich. Karlsruhe Institute of Technology (KIT),;;;;;;;;;;;;;;;;;;;;;;;
Geophysical Institute, Hertzstr. 16, 76187 Karlsruhe, Germany. yvonne.froehlich@kit.edu. https://orcid.org/0000-0002-8566-0619.;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Splits (single-event analysis results of good and fair qualities) at the Black Forest Observatory (BFO, GR; 48.331 degN, 8.330 degE);;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
year_jday;station;phase;inc_in_deg;baz_in_deg;epidis_in_deg;hdepth_in_km;lat_in_degN;lon_in_degE;region;freq_low_in_Hz;freq_upp_in_Hz;phiRC_in_deg;dtRC_in_sec;phiSC_min_in_deg;phiSC_in_deg;phiSC_max_in_deg;dtSC_min_in_sec;dtSC_in_sec;dtSC_max_in_sec;phiEV_in_deg;dtEV_in_sec;quality;observation;SI;SI_err;remark
1994.160;BFO;SKS;9.1;61.76;96.39;80.00;13.27;124.24;LUZON, PHILIPPINE ISLAND;0.067;0.20;-10;2.5;-17;-10;-11;2.1;2.5;2.8;-8;2.4;fair;Split;-0.27;0.26;NaN
2019.151;BFO;SKS;8.0;64.26;103.47;90.20;6.26;126.55;MINDANAO, PHILIPPINES;0.066;0.20;0;1.3;-9;0;15;0.8;1.3;1.8;-4;1.4;fair;Split;-0.83;0.14;NaN
1999.169;BFO;SKS;8.0;64.58;104.01;33.00;5.51;126.64;MINDANAO, PHILIPPINE ISL;0.020;0.25;28;0.6;-3;43;58;0.3;0.7;1.4;53;1.0;fair;Split;-0.41;0.05;NaN
2015.267;BFO;SKS;7.0;64.59;111.69;24.10;-0.63;131.26;IRIAN JAYA REGION, INDON;0.067;0.22;25;1.0;-1;21;41;0.7;1.0;1.4;25;1.0;fair;Split;-0.96;0.11;NaN
2009.109;BFO;SKKS;12.3;65.40;105.13;25.00;4.14;126.68;TALAUD ISLANDS, INDONESI;0.010;0.17;1;1.2;-5;7;25;0.8;1.1;1.5;-5;1.3;fair;Split;-0.87;0.09;NaN
2002.064;BFO;SKS;8.2;66.20;102.15;31.00;6.03;124.25;MINDANAO, PHILIPPINE ISL;0.010;0.15;22;0.9;-17;14;62;0.4;0.9;2.9;14;0.9;fair;Split;-0.35;0.10;NaN
2009.277;BFO;SKS;8.2;66.45;101.06;620.00;6.74;123.38;MINDANAO, PHILIPPINES;0.020;0.25;35;0.7;-5;34;56;0.3;0.7;1.3;58;1.2;fair;Split;-0.48;0.07;NaN
2010.210;BFO;SKS;8.2;66.69;101.15;627.40;6.53;123.25;MINDANAO, PHILIPPINES;0.020;0.25;51;1.0;9;35;52;0.5;0.7;1.1;55;1.1;fair;Split;-0.61;0.05;NaN
2005.036;BFO;SKS;8.1;67.39;102.18;525.00;5.29;123.34;MINDANAO, PHILIPPINES;0.020;0.25;26;1.1;-5;33;56;0.5;1.1;2.0;41;1.2;fair;Split;-0.94;0.13;NaN
2003.291;BFO;SKS;7.5;68.24;107.70;33.00;0.44;126.10;NORTHERN MOLUCCA SEA;0.020;0.13;16;1.0;-5;2;23;0.9;1.3;1.9;-4;1.6;fair;Split;-0.93;0.06;NaN
2009.280;BFO;SKS;8.0;68.94;102.53;574.00;4.08;122.37;CELEBES SEA;0.010;0.20;26;0.6;-17;13;64;0.1;0.6;2.6;25;0.5;fair;Split;-0.59;0.09;NaN
1998.240;BFO;SKKS;12.2;69.52;107.49;66.20;-0.15;125.02;MOLUCCA SEA;0.050;0.15;19;2.0;-3;4;11;1.9;2.5;3.1;12;2.2;fair;Split;-1.30;0.20;NaN
2013.224;BFO;SKKS;11.7;70.22;115.94;95.00;-7.15;129.81;BANDA SEA;0.075;0.22;-8;2.2;-1;2;7;1.8;2.1;2.4;-2;2.1;fair;Split;-0.21;0.24;NaN
2001.343;BFO;SKS;7.7;71.17;106.03;156.30;0.00;122.87;MINAHASSA PENINSULA;0.010;0.10;27;0.7;-3;41;62;0.5;0.8;2.0;49;1.0;fair;Split;-1.06;0.07;NaN
2000.125;BFO;SKS;7.5;71.33;107.33;26.00;-1.11;123.57;SULAWESI;0.020;0.25;29;1.0;3;29;52;0.6;1.0;1.4;13;1.0;fair;Split;-0.88;0.09;NaN
1996.198;BFO;SKS;8.0;72.60;103.58;33.00;1.02;120.25;MINAHASSA PENINSULA;0.067;0.20;25;0.8;3;11;25;0.7;0.9;1.2;13;0.9;fair;Split;-0.76;0.03;NaN
1998.141;BFO;SKS;8.0;73.66;103.78;33.00;0.21;119.58;MINAHASSA PENINSULA;0.020;0.25;37;1.1;7;20;31;0.9;1.1;1.4;38;1.0;fair;Split;-0.97;0.08;NaN
2004.114;BFO;SKKS;11.9;77.58;113.18;65.80;-9.36;122.84;SAVU SEA;0.010;0.15;31;0.6;-3;24;64;0.3;0.6;1.4;24;0.6;fair;Split;-0.65;0.04;NaN
1998.271;BFO;SKS;7.8;84.93;105.46;151.60;-8.19;112.41;JAVA;0.010;0.15;31;1.1;15;21;27;1.1;1.3;1.6;25;1.2;fair;Split;-1.06;0.05;NaN
2012.247;BFO;SKS;7.4;85.54;108.33;14.00;-10.71;113.93;SOUTH OF JAVA, INDONESIA;0.067;0.20;54;1.1;19;46;70;0.6;1.0;1.7;64;1.3;fair;Split;-0.48;0.13;NaN
2001.145;BFO;SKS;8.0;86.40;103.74;143.10;-7.87;110.18;JAVA;0.020;0.25;30;1.2;13;18;27;1.2;1.6;2.0;26;1.3;fair;Split;-0.92;0.10;NaN
2001.145;BFO;SKKS;12.3;86.40;103.74;143.10;-7.87;110.18;JAVA;0.010;0.10;37;1.7;13;26;50;1.2;1.8;2.6;22;1.9;fair;Split;-0.85;0.09;NaN
2007.220;BFO;SKS;8.4;86.97;100.64;291.20;-5.93;107.68;JAVA, INDONESIA;0.020;0.15;44;1.4;11;23;46;1.2;1.9;3.0;25;1.8;fair;Split;-1.12;0.10;NaN
2004.207;BFO;SKS;9.1;87.39;95.57;582.10;-2.43;103.98;SOUTHERN SUMATRA, INDONE;0.020;0.30;44;1.3;23;33;43;1.1;1.4;1.7;43;1.3;fair;Split;-1.96;0.19;NaN
2009.245;BFO;SKS;8.3;88.51;101.76;46.00;-7.78;107.30;JAVA, INDONESIA;0.020;0.25;38;1.2;21;27;33;1.2;1.4;1.7;33;1.3;fair;Split;-1.25;0.09;NaN
2015.135;BFO;SKS;9.4;88.89;94.54;149.90;-2.65;102.18;SOUTHERN SUMATRA, INDONE;0.030;0.13;38;1.1;17;23;31;1.1;1.5;1.9;29;1.3;fair;Split;-1.19;0.07;NaN
2015.135;BFO;SKKS;12.7;88.89;94.54;149.90;-2.65;102.18;SOUTHERN SUMATRA, INDONE;0.067;0.22;36;1.2;19;27;39;1.1;1.5;1.9;29;1.4;fair;Split;-1.31;0.23;NaN
2009.274;BFO;SKS;9.5;89.31;93.99;9.70;-2.52;101.50;SOUTHERN SUMATRA, INDONE;0.010;0.20;41;1.3;19;27;35;1.3;1.6;2.0;37;1.4;fair;Split;-0.98;0.10;NaN
2009.273;BFO;SKS;9.9;89.33;91.56;81.00;-0.72;99.87;SOUTHERN SUMATRA, INDONE;0.067;0.20;38;1.1;13;19;29;1.1;1.7;2.2;31;1.2;fair;Split;-0.93;0.10;NaN
2006.198;BFO;SKKS;12.4;89.44;102.92;34.00;-9.25;107.41;SOUTH OF JAVA, INDONESIA;0.010;0.15;44;1.9;19;27;37;1.8;2.4;3.1;35;2.1;fair;Split;-1.70;0.12;NaN
2016.153;BFO;SKS;9.7;89.80;93.14;50.80;-2.21;100.57;SOUTHERN SUMATRA, INDONE;0.050;0.19;26;1.5;19;26;35;1.1;1.5;1.9;24;1.6;good;Split;-1.04;0.09;NaN
2000.159;BFO;SKS;9.2;90.41;95.81;33.00;-4.61;101.90;SOUTHERN SUMATERA;0.010;0.15;25;1.7;17;22;29;1.4;1.9;2.4;22;1.9;fair;Split;-1.00;0.14;NaN
2009.155;BFO;SKS;9.0;161.54;97.03;16.00;-45.83;35.14;PRINCE EDWARD ISLANDS RE;0.067;0.20;27;1.0;-3;10;33;0.8;1.2;1.8;14;1.1;fair;Split;0.71;0.13;NaN
2013.203;BFO;SKS;9.0;161.85;97.16;10.00;-46.05;34.78;PRINCE EDWARD ISLANDS RE;0.060;0.23;24;0.5;-9;24;62;0.3;0.5;1.4;-12;1.5;fair;Split;0.49;0.04;NaN
1992.237;BFO;SKS;7.3;199.44;108.87;109.00;-56.60;-26.56;SOUTH SANDWICH ISLANDS;0.010;0.10;70;1.1;35;67;-86;0.7;1.1;2.4;81;1.3;fair;Split;1.45;0.05;NaN
1997.307;BFO;SKS;7.7;241.64;106.15;45.00;-30.74;-71.22;NEAR COAST OF CENTRAL CH;0.010;0.10;17;0.4;-27;32;60;0.1;0.5;2.8;34;0.5;fair;Split;-0.42;0.03;NaN
2015.315;BFO;SKS;7.7;243.15;105.72;10.00;-29.44;-72.11;OFF COAST OF CENTRAL CHI;0.050;0.13;21;0.8;-17;15;52;0.5;0.8;2.0;15;0.8;fair;Split;-0.52;0.07;NaN
1997.149;BFO;SKKS;11.0;256.95;129.06;10.00;-35.96;-102.51;SOUTHERN PACIFIC OCEAN;0.010;0.15;49;1.1;33;53;64;0.7;1.2;1.8;59;1.4;fair;Split;-0.87;0.06;NaN
